lang_code,lang_name,page,korean,foreign_translation,pronunciation
01,영어 (English),12,일상용품,Daily commodities,데일리 커마더티즈
01,영어 (English),12,자동차가 매우 많습니다.,There are so many vehicles.,데얼 아 쏘 메니 비히클ㅅ
01,영어 (English),12,지하철,Subway,서브웨이
01,영어 (English),12,지하철 0호선입니다.,It is subway line no. _____.,잍 이즈 서브웨이 라인 넘벌_______
01,영어 (English),12,지하철 탈수 있어요?,Do you know how to take the train?,두 유 노우 하우 투 테잌 더 트뤠인?
01,영어 (English),12,출퇴근이 편리합니다.,Commuting is convenient.,커뮤팅 이즈 컨비니언트
01,영어 (English),12,택시,Taxi,택시
01,영어 (English),12,택시요금은 비싸니까 버스를 이용하세요,"Because the taxi fare is expensive, you better to take the bus.","비커우즈 더 택시 페어 이즈 잌스펜시브, 유 베럴 투 테잌 더 버스"
01,영어 (English),12,편의점은 저쪽에 있습니다.,The convenience store is over there.,더 컨비니언스 스토얼 이즈 오벌 데얼
01,영어 (English),13,필요한 물건이 무엇입니까 ?,What are the things you needed?,왓 아 더 띵스 유 니디드?
01,영어 (English),13,현금,Cash,캐쉬
01,영어 (English),13,회사에서 가까운 은행은 ㅇㅇ은행입니다.,The nearest bank to the company is _________.,더 니어리스트 뱅크 투 더 컴퍼니 이즈______
01,영어 (English),13,횡단보도를 건널때는 신호등을 잘 보세요.,Look for the signal light well when crossing the pedestrian lane.,룩 포 더 시그널 라잍 웰 웬 크로씽 더 퍼데스트리언 레인
01,영어 (English),13,휴대폰,Cellular phone,셀룰러 폰
01,영어 (English),13,OO까지 버스요금이 얼마인가요?,How much is the bus fare until _________ ?,하우 머치 이즈 더 버스 페얼 언틸_________
01,영어 (English),13,가족들에게 자주 연락하세요,Frequently contact to your family.,프리퀀틀리 컨택 투 유얼 페밀리
01,영어 (English),13,공공장소에서 떠들면 안되요,Don’t make a noise in a public place.,돈 메잌 어 노이즈 인 어 퍼블릭 플레이스
01,영어 (English),13,금식기간입니까 ?,Is it a fasting period?,이즈 잍 어 패스팅 페리어드?
01,영어 (English),13,기독교,Christianity,크리스체너티
01,영어 (English),14,당신의 나라에는 어떤 명절이 있습니까?,What kind of festival days do you have in your country?,왓 카인 어브 페스티벌 데이즈 두 유 해브 인 유얼 컨트리?
01,영어 (English),14,명절에는 부모님과 가족을 방문합니다.,We visit our parents and family during chuseok.,위 비짙 아월 페어런츠 앤 패밀리 듀링 추석
01,영어 (English),14,문화적 차이가 있을수 있습니다.,There would be a possibility of a cultural difference.,데얼 우드 비 어 파써빌러티 어브 어 컬춸 디퍼런스
01,영어 (English),14,설날,New Year Day,뉴 이얼 데이
